urlkey,timestamp,original,mimetype,statuscode,digest,mp3_version,album,artist,composer,genre,releaseDate,file_size,audio_encoding,file_format,file_extension,duration,format_settings,bit_rate_mode,bit_rate,channel_s,sampling_rate,bit_depth,writing_library,sha256,sha512
aging.senate.gov/000727.ram,20000917210310,http://aging.senate.gov:80/000727.ram,audio/x-pn-realaudio,200,QOWERNEYQVHJWI6V6QURDW4CRQQW7KVG,-,-,-,-,-,-,79,-,-,ram,-,-,-,-,-,-,-,-,d231f5779e4ec9604db2fb99ac92510b7d8263e471b2d636b4a39e8915802500,a611a3f54f53bc8dbb578d932f580e8ca9f3d5d3c85d3217ea02400bd3d45e51ad0311c47912e386673c9c3565587761479d6f066a98075578adb4595263375f
audioarchives.oc.usda.gov/audio/newsline/mp3/newsline_7e8961d8958548799884a2e2ce5589d0.mp3,20091111230348,http://audioarchives.oc.usda.gov/audio/newsline/mp3/NEWSLINE_7E8961D8958548799884A2E2CE5589D0.MP3,audio/mpeg,200,BHER2AWWZ2JUX3EO2QPGQR6IJFXKHYO7,MPEG 3 Layer III Version 1,-,-,-,-,2009,597481,MPEG Audio,MPEG Audio,mp3,37198,-,CBR,128000,1,44100,-,-,7f79597916c902ae46d2ba359b11d6d4338eb0739e8b03b946c9cce5edc16768,6ca4193a223aaec25480a8aa65d11f4b3cd7dc4f4171bd0302aa6673150be94dc794d7bf2acee4a209892cc76c642453d98025654f6d3dce31362f518d4b421c
audioarchives.oc.usda.gov/audio/newsline/mp3/newsline_802af71f439d401585c6fcb02f358307.mp3,20091105023224,http://audioarchives.oc.usda.gov/audio/newsline/mp3/NEWSLINE_802AF71F439D401585C6FCB02F358307.MP3,audio/mpeg,200,XEX3OD3KZMTKJZYTRZXFC6KBSK7LRSRC,MPEG 3 Layer III Version 1,-,-,-,-,2009,961195,MPEG Audio,MPEG Audio,mp3,59924,-,CBR,128000,1,44100,-,-,5d523832cd29efe1971bf88a1e9698021dda828547c1d774301424060eb10730,d92afa52145b0b40f3ca8e55d517b72b0dd812eb231ad9d954cdd6e73d9c163eed30babf26723bf8423216652db94e1e3a0cedc9f1209571b54dac7abe909439
becerra.house.gov/nr/rdonlyres/a2826e2c-06b4-4af1-b625-168a708a0b9a/0/20070710becerrapodcast.mp3,20081126211458,http://becerra.house.gov/NR/rdonlyres/A2826E2C-06B4-4AF1-B625-168A708A0B9A/0/20070710BecerraPodcast.mp3,audio/mpeg,200,USMUDGY7ZUEX6FLBP36AGUH6U4L4I3KQ,MPEG 3 Layer III Version 1,Becerra Podcasts,Congressman Xavier Becerra,-,-,-,1970735,MPEG Audio,MPEG Audio,mp3,239647,-,CBR,64000,1,44100,-,-,29f9e28672e9dead3fa3f2637fdcdce272a47e21af5483a958a825e5b56b6da0,2c6120d0f9125ccd0f18a52e05c1e1a2c7a5e8c48303c78546ec30684e31243b89ea449069a8ef75345f42f8ed13cd635b453ed1f4c13d3ec841fb1fa96c144c
brown.senate.gov/imo/media/audio/bluegreen21.mp3,20100806013934,http://brown.senate.gov/imo/media/audio/bluegreen21.mp3,audio/mpeg,200,Z44FD2AUWB6X43G42OC4EDWQZHTC5KGM,MPEG 3 Layer III Version 1,-,-,-,-,-,454947,MPEG Audio,MPEG Audio,mp3,28434,-,CBR,128000,1,44100,-,-,b0730c74795d01ccb9705f779a6352372655b596690784dc15358a518825892a,2cd7d010e4677d711ba0911d42b777fc0d5641f1cc5805cf86dfb6863b06e85d481d551c788a939aad78aff4775c6db3bf7145a470b0425aea8d57912c9d882d
brown.senate.gov/imo/media/audio/brown005mstr+091108.mp3,20090103123401,http://brown.senate.gov/imo/media/audio/brown005MSTR%20091108.mp3,audio/mpeg,200,LL7PTFN4IVIR5R6GRXPDY4G6M55BVU5U,MPEG 3 Layer III Version 1,-,-,-,-,-,183063,MPEG Audio,MPEG Audio,mp3,11441,-,CBR,128000,1,44100,-,-,376862d26e9d4622e28b8c3b76ba3bdb07389bae9c63a1ca76d99394200fdaff,d20d90a51055a816907baa4653d34f4b90417bffd9c8e8f98e402c5b05c980a2a44135a9b3b462462afa92d4d75b6a0ef5a21a53f93e174d5d04b572d4a4e321
ca3.uscourts.gov/oralargument/audio/11-3250johnsonvfolinoetal.wma,20151210143355,http://www2.ca3.uscourts.gov/Oralargument/audio/11-3250JohnsonvFolinoEtAl.wma,audio/x-ms-wma,200,4KJLUYEGVWXBJ52IL52KFIGSX57QKSIW,-,-,-,-,-,-,21423499,WMA,Windows Media,wma,2647772,-,CBR,64024,2,44100,16,-,2e90f5615ad4eaf273c1dfa9c4631e14a39da7f5a9a09edc5467b14f19dacd41,b5605ca294dcd8709580e188b2bd18f4a777d68918ac994511aafb29e268af89cedeb836dd79e36bd7c2c2655b8f85e05a505ab5738e43fb492c5c084ed77853
cmap.illinois.gov/uploadedfiles/newsroom/clips/2010/1-24-10_mike_nowak_show_podcast.mp3,20100130072527,http://www.cmap.illinois.gov/uploadedFiles/newsroom/clips/2010/1-24-10_Mike_Nowak_Show_Podcast.mp3,audio/mpeg,200,X3XXGVVYNQ76TYEVBUNE4IKYL5CLAY4U,MPEG 3 Layer III Version 2,-,-,-,-,-,27034416,MPEG Audio,MPEG Audio,mp3,6758604,Joint stereo / Intensity Stereo + MS Stereo,CBR,32000,2,16000,-,-,96f7db5f6165871932bc5c559a27fd04944381a4802abbfa4578f9837493003c,5cc353bd6ae7b8a556db68dc39b03c9d478e6093beca0f9c650d5efb1298395899f0be11982a09fc060a370a3d0c9ea25c608ab252f0439389fd5b6f486bbcbe
co.vernon.wi.gov/vccp/nls/intro.mp3,20091012030903,http://www.co.vernon.wi.gov/VCCP/nls/intro.mp3,audio/mpeg,200,SPXKMJI7PGX5XT7PTRZ3YOG7O5ZJ3UOQ,MPEG 3 Layer III Version 1,-,-,-,-,-,8079569,MPEG Audio,MPEG Audio,mp3,504973,Joint stereo / MS Stereo,CBR,128000,2,44100,-,-,313f0b3d365240d4849cc672f4ac0deb5a6d88c4e20040ea417b3e8ef0c8109c,c977163d384108207f6c0426bc1e6a611fd9d0c9994750e25fb9cc46c54c975f59babbd2715364455f3a558e3c9c1cc69bcf4fa6fe3db20029964c5e507e3950
coop.ca4.uscourts.gov/oaarchive/mp3/15-1755-20160923.mp3,20161006003656,http://coop.ca4.uscourts.gov/OAarchive/mp3/15-1755-20160923.mp3,audio/mpeg,200,EX272AWQSVQCE75JKSYFTBTT775MNIOA,MPEG 3 Layer III Version 1,9/23/2016,4CCA,-,Richmond,2016,26784525,MPEG Audio,MPEG Audio,mp3,2231954,-,CBR,96000,2,44100,-,LAME3.96r,8c911bd31dac66c6f1fe7460f6518573086bcfcdb89bbfa89839cd93082d1648,2d8771325bd1bd9f887a5fc868f28a7497cd3c11d62ca5a65b7a7c7f5398d5285dd981bc0a5f01d041928ebd93dbcbca30885764431c42f27f69b7bd8c740abb
