urlkey,timestamp,original,mimetype,statuscode,digest,pdf_version,creator_tool,producer,date_created,pages,page_width,page_height,surface_area,file_size,sha256,sha512
adcvd.cbp.dhs.gov/adcvdweb/ad_cvd_msgs/8461.pdf,20160314094848,http://adcvd.cbp.dhs.gov/adcvdweb/ad_cvd_msgs/8461.pdf,application/pdf,200,IWBFGFBEXBD54JGRHBZM5V2BUAZTRO4R,1.4,-,iText 2.1.4 (by lowagie.com),2016-03-14T09:48:48Z,4,612,792,94,13470,74df05a98c99a808b4535133911c2adb4c3a36bf7ec90411466a863daa2c4661,2c144fa2709e791abd1b86f1afd052297d05ed376eebff82e7ce83262d5de1969feafc94c6c73c84f02307ee6700041100bbdcd905a51f43e554c73dee34e73c
aphisweb.aphis.usda.gov/animal_health/birdbiosecurity/biosecurity/links/step2.pdf,20090727060345,http://aphisweb.aphis.usda.gov/animal_health/birdbiosecurity/biosecurity/links/step2.pdf,application/pdf,200,KMUKXIW52KNJ3JJJ2LO5QOW2G6FTJ45W,1.6,QuarkXPress(tm) 6.5,QuarkXPress(tm) 6.5,2008-01-28T17:02:49Z,1,612,1008,119,115121,801e6123e2171a5ae46a319826847008cbf0a6a4729bf560d73434a0e6a2e117,9231b574e061027b4f71cf254af8e3683ee66c8ca79091ef4db48fa04d5daaba30b40a50e5e9b5f839f71ed4332cc99ff2ddf786249220a7422c97309234d56e
archive.gao.gov/lglpdf3/121071.pdf,20081205050613,http://archive.gao.gov/lglpdf3/121071.pdf,application/pdf,200,YQZG4CHDFUMUUDUEO2IY3GSWB4YCIKJI,1.3,Acrobat Capture 3.0,"Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>. ",1983-04-13T17:00:00Z,5,624,801,96,298883,2ad85811aed46f5d1725a5dd21b6dc4101650e17f64d1eb4d0890a438e5a7424,59a1480030709f66ef19cb0c03d5b8adfbb1c2eb0336b9c69568fd0efcc2983026743f21d4bbed27c1ac301fe3657d7e46557b1960e9e9628779c715caab45a9
archives.energycommerce.house.gov/reparchives/108/markups/02092005/shakowsky.pdf,20100615010901,http://archives.energycommerce.house.gov/reparchives/108/Markups/02092005/Shakowsky.pdf,application/pdf,200,MILX4ZNQNYZNUWXL5SKQBFS2TJFYYSGU,1.4,-,"Hewlett-Packard Intelligent Scanning Technology
3",2005-02-16T22:33:27Z,2,609,779,92,64612,7fc9c9a23116583093c72cfb94d39fabaf314a81532e3ea7191b651d9645fc1b,0cd794b080dbaed9cea94aebfae41413977a25e79de32946240d72d98e354a52134052f0c0b44524cab93d0ef4acb8f1faf5d4f19191966bba98955359dbde0f
asm.ca.gov/committee/c7/2001pdfs/2001ad62.pdf,20101112084133,http://www.asm.ca.gov/committee/c7/2001pdfs/2001ad62.pdf,application/pdf,200,64PJRWTXR43NVMTQCZGEFDUZA3JMJTD7,1.4,Adobe Illustrator(R) 8.0,Acrobat Distiller 5.0 (Windows),2002-05-28T15:31:05Z,4,1332,1159,298,1451206,989f0ba5ae2d2b8e81accbcb9df5900c1f697f41ca18693e2168a547cda933ba,b34e6526227545e460df2d4830868594df83e46900710f61636252c0a99d9dc3b913ae354147ad96535adbfbdef787756e56d5cab8468dcc6645cecb1660a727
at07web.grants.gov/assets/atguidelines.pdf,20091117194829,http://at07web.grants.gov//assets/ATGuidelines.pdf,application/pdf,200,7CIFOV7XZXS6EHUFYZF6H3NCN637PI2M,1.4,PScript5.dll Version 5.2.2,Acrobat Distiller 8.0.0 (Windows),2009-06-04T21:05:50Z,2,612,792,94,34127,393b49d0f8b938c3b4f34e62c6da2afeeba2b476144f242df5d90f9c648c37b9,04e7f37300c4a41b25c6afc54179a911fdf9598872543c56c4b4048ada1fad61b49201be06cdf6adbb93527b3aedf9bedb81c305b2e0f1d44765b6796ed88295
bachus.house.gov/index.php?view=article&catid=47:2001-news&id=609&format=pdf&option=com_content&itemid=117,20110206145150,http://bachus.house.gov/index.php?view=article&catid=47%3A2001-news&id=609&format=pdf&option=com_content&Itemid=117,application/pdf,200,D2FRDPDTXJKVTJKEBESWUWBYZDJRBNAI,1.5,Joomla! 1.5 - Open Source Content Management,TCPDF 2.5.000_PHP4 (http://www.tcpdf.org),2011-02-06T09:51:50Z,1,595,842,97,240015,d7e2fcba0c8e2bab6bd73dd259c4d03f7ac50d3f90ea4b24506e8c340e47c857,ae10af388c2bf41db364f6b71e0991270ff86d7c2f170af091f50577a814ba23c91a27c396623750b8ea24eb71ceb73eb5d25474f2a943f33d053fecd1044eed
campbell.house.gov/index.php?view=article&catid=31:2008-news&id=1580&format=pdf&option=com_content&itemid=64,20091104124230,http://www.campbell.house.gov/index.php?view=article&catid=31%3A2008-news&id=1580&format=pdf&option=com_content&Itemid=64,application/pdf,200,GFZKIRYHHR2NZTPACKJY5MTG5X3CYGEX,1.5,Joomla! 1.5 - Open Source Content Management,TCPDF 2.5.000_PHP4 (http://www.tcpdf.org),2009-11-04T07:40:28Z,1,595,842,97,240035,52c2e4d03c958b9230105ce8e8a3db0f196f54c980f4d2db274eea871918fab2,f0738c6591710035e8491dc8cca710185b350ed61f1ce447a5b1961e5a5c14d2ee5cee3ba4463ea1aa7cea844665ebd88d21762a758482368292a972e3897946
cdc.gov/hiv/topics/surveillance/resources/reports/2006report/pdf/table17.pdf,20090806193246,http://cdc.gov/hiv/topics/surveillance/resources/reports/2006report/pdf/table17.pdf,application/pdf,200,6REZDVWAZINCN3EC63464SLUVI2QJHJW,1.6,FrameMaker 7.1,Acrobat Distiller 7.0.5 (Windows),2008-03-27T14:18:55Z,1,612,792,94,142266,11682c2c3132414b0fbc3f10d1744763bfd5a128fe2d0e4edbaab39241dc375b,b8de7bddbf5ac78c743d14238e9d3ed51208bccc3aaf24604cba802ace816e2e39a2af4a19f5c63f315fb6e8c26d0462d49c15990ca822d300a78ed94777d4f4
cdhd.idaho.gov/pdfs/boardofhealth/minutes/2008_03_14_board+minutes.pdf,20100410183521,http://www.cdhd.idaho.gov//pdfs/boardofhealth/minutes/2008_03_14_Board%20Minutes.pdf,application/pdf,200,AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT,1.4,HP PDF Formatter version 3.2.0.1100,Adobe PDF Library 5.0.5,2008-04-15T23:57:01Z,4,612,790,93,1822712,300d2b2af422ca327db59af10a22f71157be58a2de3064a6ab9918cd85944791,07de5e9cab0deedee00f7a61cfd79608d3b7d6ee937f77915e38376189f5f7ca050cb1aa00c59bbe530aad1d0921142e0da75570ef9c1457dc8b6bd71cc852ab
commerce.senate.gov/pdf/laven-050306.pdf,20070301190530,http://commerce.senate.gov/pdf/laven-050306.pdf,application/pdf,200,OOCZ65LSQNV54SSBIQ5C2LVLOZNKUXH3,1.4,Acrobat PDFMaker 7.0.5 for Word,Acrobat Distiller 7.0.5 (Windows),2006-05-03T04:21:24Z,3,612,792,94,36617,1308e4f511ed07dcc1193880094a2d9f5e7fcfd8b8f06394d60ca2be3393fe89,f1f5ee55e2866beb63e68e1ab8de5b2cfaf13b771c724166175644e66b4db71c4676742ee79f21cf0d39782e5026af1ab1e025f3a06e915bfe85caf4b00919c9
congress.gov/crec/2016/04/05/crec-2016-04-05-pt1-pgs1675-4.pdf,20160408213912,https://congress.gov/crec/2016/04/05/CREC-2016-04-05-pt1-PgS1675-4.pdf,application/pdf,200,H7U4KMXPQKUBDKIPQQRC6ETJZEZR3OCZ,1.4,"Federal Digital System, U. S. Government Publishing Office",iText 2.1.4 (by lowagie.com),2016-04-06T10:33:44Z,2,612,792,94,224236,62994f4f0b599db4b099352d01c30e20bd14a338545f91f4fb5428712c21ebd4,71cad732c196e39744210782896497103a2bf646f8271cb48b41ad65971d453fefb5559d8c073f7a2137143a2fd7b5e7d2c74b735160c31c38c965796db07229
controller.ca.gov/files-ard-payments/highway/fy0910_06hwycov.pdf,20100720144403,http://www.controller.ca.gov/Files-ARD-Payments/Highway/fy0910_06hwycov.pdf,application/pdf,200,S2UVWECYPR7LVAESLI2OMTZOVVDIEP2S,1.5,PScript5.dll Version 5.2.2,Acrobat Distiller 9.0.0 (Windows),2010-06-24T20:01:25Z,2,792,612,94,20389,ba8771fa6fcfe4beed2ecce04385cec8814b086128e518d5474fdcc63340c9c9,c349ddf0542b55641c7b17d5c6e21d5aa80a3e0a882aaa40070088ffbfd33e9b4ad7c25e9ffd85947fec02ba2dc41fed98f875d0e86ab3a280e340050b7d67ff
copyright.gov/onlinesp/agents/a/alto.pdf,20151015044652,http://copyright.gov/onlinesp/agents/a/alto.pdf,application/pdf,200,J4I447QIORVBVIFCBZ5GIOKV7MPWYRXU,1.7,FUJITSU fi-6230dj,PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1,2010-01-28T16:27:26Z,1,611,792,93,101972,ba7b016e04299d3a15f3ee38d5940e764c28e2564dada5bbf4513077a83c8090,6a76a47213e0074164b7fd3e0c8637d06b1b2c55f07fb775a32ef59f4ae3588d48a484c3f428f2608b23ec3260265da730a709f929bbb309a50a4724f4e107fc
copyright.gov/onlinesp/agents/u/unmoil.pdf,20110708060241,http://www.copyright.gov/onlinesp/agents/u/unmoil.pdf,application/pdf,200,SUR4MPI7WKZHIFC6ZGVOWBXD6JWE76BV,1.7,FUJITSU fi-6230dj,PDFScanLib v1.2.2 in Adobe Acrobat 8.1.1,2011-03-22T20:11:37Z,1,611,792,93,88346,ccf6af441ac1f0d4e79042c00dea2e93262e219c0f6a593548da761c99529939,9d96023a56050c4ea7645faf9e76a9d3a68299dd89feca1bd36e38373b3a8a0bf1747b083c02df9b3a4c576e93a9f9cc6ff9648681fa6c5edf900b066bce278d
courtinfo.ca.gov/courts/minutes/documents/sapr1608.pdf,20091115161310,http://www.courtinfo.ca.gov/courts/minutes/documents/SAPR1608.PDF,application/pdf,200,QDT4ROBASSEPQJ22EDUO3HLP3NB2IIBC,1.4,PScript5.dll Version 5.2,Acrobat Distiller 7.0.5 (Windows),2008-05-13T18:25:34Z,37,612,792,94,56615,73d347caf51cb0758e91cfeda85567f4c2f670f680a97cb97829217fe80255c6,80627a5036e04aac4fc2b7b1ce8e6cf879c5dd0d52022a8ba87c8f84e2739df788e38582242b51700cf5ffc3d6d21134690baa62258534e80c22e0b4b1db5546
democrats-edworkforce.house.gov/imo/media/doc/060407michaelwoodwardtestimony.pdf,20160505221525,http://democrats-edworkforce.house.gov/imo/media/doc/060407MichaelWoodwardTestimony.pdf,application/pdf,200,OWLJR34JMJW772HNLGCF6O64GCY6QTTP,1.4,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2007-06-04T14:43:29Z,9,612,792,94,55108,9f73ef2132544bbd8b9de33e1423d8bd37109d6e573b1185b030f276fb0e2024,d095198a384a766d0f338122511bcc7549f59e7f14052595f020d3d9934f44b404876bd1ac3618275ef061b7a4d13d6be43212a39e9b3fdc86197639d03f59f4
deq.idaho.gov/media/531668-ww_security_fs_2006.pdf,20120106014547,http://www.deq.idaho.gov/media/531668-ww_security_fs_2006.pdf,application/pdf,200,4JVIYSW2MHWPE5BXGXLAXTNMHGHJFPUP,1.4,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0 (Windows),2006-08-17T22:50:41Z,4,612,792,94,112107,3b7c1a74adefcbde7792ac96bfec6130059e05d1829a627094c33c95c819cbe4,96d817b20ccd0f2f14c59f61459439d14f602d71b233a338446020953a2d9e7d79fc4624fdf83d0ea22c67a5815f96ff5b7990746203ad85308cd30ad792c32a
dhr.alabama.gov/large_docs/mother+and+infant+q&r+final+07.31.pdf,20090806031752,http://www.dhr.alabama.gov/large_docs/Mother%20and%20Infant%20Q&R%20FINAL%2007.31.pdf,application/pdf,200,6RZXET5EGN7QMGM5PROIXJI447YTCETZ,1.4,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2009-08-04T19:40:30Z,4,612,792,94,69637,0ecff1bef6a5b1a594399b01f1a9b4b645eb7739f6e75e8cfb486dd331d52f59,68a2109168d45443f483b76f910109c62accb2de0594e687ea45562ca8f7032a55a047d22db085f605b3524e463ff23aeca9f14c8bc81b00ca75d7c66e3a42b1
dhs.gov/interweb/assetlibrary/privacy_hsa2002_222.pdf,20050721012439,http://www.dhs.gov/interweb/assetlibrary/privacy_hsa2002_222.pdf,application/pdf,200,SA3EKMNRN4KHJYVMDDBOUIQTZIV3ZVJH,1.5,PScript5.dll Version 5.2,Acrobat Distiller 6.0 (Windows),2004-07-28T14:43:47Z,1,612,792,94,71899,e2b04e803a7f7ed33cbe6798a2491b82b8bc89668ca2f65cd6226bfc055d4518,5b776e12f059f98cbce7fa63530c4859a134c9e124942f7a2832d1537511b4f90f7c4f4386ad407c8a8ca5c5ac7e71af7648afeb2ec3f3b0badfd88feaefc3ad
dot.wi.gov/travel/counts/docs/ozaukee/saukville2004.pdf,20100427063521,http://dot.wi.gov/travel/counts/docs/ozaukee/saukville2004.pdf,application/pdf,200,KKUB224LBBU5Q6QF3I52V7NM5BFDXKMA,1.4,Windows NT 4.0,Acrobat Distiller 6.0.1 (Windows),2005-07-27T13:16:09Z,1,792,1224,187,34442,9c2c6af243a6df793372ed2c61d31dfc399aafa899fd0d26fc16a4600cad3207,1aa588563cdc0ed026a22ac431b3ac07497201a615d87058cebeb0e0be80b565abe2d2bdf6d61679536dd8e4eb8614160fc77203f5ffc71363e91c60dde79f9f
edocket.access.gpo.gov/2003/pdf/03-21890.pdf,20081205142643,http://edocket.access.gpo.gov/2003/pdf/03-21890.pdf,application/pdf,200,NM76DD2NN5OG5VHK5TQMZV3OO3T6UDAK,1.3,-,Acrobat Distiller 4.0 for Windows,2003-08-27T01:49:06Z,1,612,792,94,33422,c7d7469ca1acc494ac5ce73d94b421afc5d5536e33dae33b75f5df69336ee0b6,b38d774ad1cda234ea4fc5aee90e33c4335d0589519bde0bfa23975b0e62d75695af9f31ea80ddbaa81cdd37add991182ec2d2697aa6624fb89140c4a02f6f2e
edocket.access.gpo.gov/2005/pdf/05-7339.pdf,20081213182139,http://edocket.access.gpo.gov/2005/pdf/05-7339.pdf,application/pdf,200,MBYNVOAVDILB2AZ6AU7FGZA3BWG3XXZ4,1.3,ACOMP.exe   WinVer 1b43  jul 14 2003,Acrobat Distiller 4.0 for Windows,2005-04-13T02:19:12Z,1,612,792,94,46363,86e467ca899148ecbf50b123a378e76c2ca1398170d832016394e47cf1c0a83b,2869da181f8d76ab8224eb45bdf5a434cbd8f1123002c56ac589b22bdf915e92a1cf919c456eb7ab6229a6af5ede3e4306c2975c353f27665c6822f82b9605c5
