urlkey,timestamp,original,mimetype,statuscode,digest,file_size,sha256,sha512
babelfish.arc.nasa.gov/trac/europa/ticket/191?format=tab,20090511205208,http://babelfish.arc.nasa.gov/trac/europa/ticket/191?format=tab,text/tab-separated-values,200,GAR4MJ4YE4OO3467KEVJKE4CFGWPD7CR,991,c1b0a8b39a0995042be9114fea86a7cabbc686dc04f0589fe60b4a0f2ef3a6be,816a2721d3e953e5a50dc99832451eaa2cde68783c94b142f440aa2faae4f15905824e6f417ba967a677e53bb653e05f9ab21501597a89acf21eff4720cfd60a
babelfish.arc.nasa.gov/trac/europa/ticket/83?format=tab,20090420051901,http://babelfish.arc.nasa.gov/trac/europa/ticket/83?format=tab,text/tab-separated-values,200,G2644ALBK6JWSVEFHSF7DG2FFUQORTIL,945,5bfa1eade21bfb1afd39c90d561bdfb3e9467122cb65c6049ed8fcf100cb89cb,4134a43ffc98a32cb29e784d72db4ab384da038711f6b432b387014281601360e4abb4ff354ee13cdd5b72daeb0a430213abd1f67f15e3572acb7a32461b36a7
cbr2.nrel.gov/beopt/trac/query?status=!closed&keywords=~derate&format=tab&order=id,20160627014823,https://cbr2.nrel.gov/BEopt/trac/query?status=!closed&keywords=~derate&format=tab&order=id,text/tab-separated-values,200,SENARKIZHP6EO6EKHQ6Y42RLTXKIUHX5,51,1764b7778af02124595f6264df4f9e43ce5e2ab8df0a138b84db98079d30e571,0d37b4e9a17dbc1acb553832fd82553f6aee24a8cf40ac261aab12227b7b2182bc461d18516a47b2dc3f345a13dd785e982e7488fc860d14c638ac6f83981a04
cbr2.nrel.gov/beopt/trac/query?status=!closed&owner=ewilson&format=tab&desc=1&order=priority,20170224113222,https://cbr2.nrel.gov/BEopt/trac/query?status=!closed&owner=ewilson&format=tab&desc=1&order=priority,text/tab-separated-values,200,5V3U47WFQ4ZTVU72TG5NM2XVIIYRP3GZ,54,44a566453f5dd4c9a2d72f13f80c59f2c420c22d17f0c0108f63a9babb55bbc9,f2032cc63c979eb19ebf01dbf2a89cddeeb917ca682b738b6a99c7ebdfde28cc5bb5672e8082c82c0540909715a41694038396657868ec6c3d37aa011eba5a3b
cbr2.nrel.gov/beopt/trac/ticket/113?format=tab,20170320165310,https://cbr2.nrel.gov/BEopt/trac/ticket/113?format=tab,text/tab-separated-values,200,HGQXKDZJLPA54TXLH3Z4J6CTBPM3VOMM,268,ad43eede8c05efcef84836897dc71fcb056bba0890c9a347715031ccbb2047cb,3002e4fbdea1f0b180ab5f8d9f3567d1d0c3a47e70f77cf80b0c85f48d06b1bb299416612cc863a12551ff2ebb6827612646ed751cedd6480b10f7ca7e654a9f
cbr2.nrel.gov/beopt/trac/ticket/153?format=tab,20170112224652,https://cbr2.nrel.gov/BEopt/trac/ticket/153?format=tab,text/tab-separated-values,200,EZYECU43UQEEJHHPKW66MFRJL2FOPJ5P,241,82af659bef7b676f8c374b8be7c40d415fa126d1d1858d727327d12c1b2a5b63,803ea16d4ee6c60bb1bbfde5c3ea2122db455a2069b9706b1a9a9772432f777ee7016d7f777f8898f527c37e77e3bb7d4db80ad3188008b63b047d2e82e4b5fd
cbr2.nrel.gov/beopt2/trac/query?status=!closed&reporter=shorowit&format=tab&page=2&desc=1&order=id,20170718142017,https://cbr2.nrel.gov/BEopt2/trac/query?status=!closed&reporter=shorowit&format=tab&page=2&desc=1&order=id,text/tab-separated-values,200,VJHRN2AOXCQXH7NZKD3DIUMORQYW7FU2,11467,145db6e539ff5f3bb7147aea9b23ed168acfb52e81864a103616f42041968351,be472542eb02f79db61ae94e9c91b491cb7e4bf5733ddbe722af05423c7a58fb58cb574e0ba35a39fdabde296b67618927e531a1284ef038cbec20cde97453af
cbr2.nrel.gov/beopt2/trac/query?status=closed&resolution=fixed&format=tab&page=6&order=summary,20170719075821,https://cbr2.nrel.gov/BEopt2/trac/query?status=closed&resolution=fixed&format=tab&page=6&order=summary,text/tab-separated-values,200,W5S7SJLWIKKFBIIGJBJDUDGK5Y34P4MU,60363,4c9b3acd8460c37d8b1bd232b0799172dc5a5945f61612826fd50a4b42f1e53d,9a4fe2411aea986ba37a56bbc769f31a7b0835ac671296fb896e607c506f47c62cba87c86b47ac43ab2059f0632dd684249eb6f75271ea5054491d2cea0f1ff3
cbr2.nrel.gov/beopt2/trac/ticket/1060?format=tab,20170302132407,https://cbr2.nrel.gov/BEopt2/trac/ticket/1060?format=tab,text/tab-separated-values,200,4VENO4MF23HCZH7NXF3U4USLX7PVE2TD,801,f5984eea3701325f20c8e8d1f7b14f1c7c11d1763fab58813b76b95c5cf06032,6a6243d23a3717892475d596df10fc21c6dfa755d8719bba6f88d74214e1cad6ca5d7de8eaac72cd6d57a0c4e45462e4ee1cc1e3d84cf7cf869fb3d0e2485b5c
cbr2.nrel.gov/beopt2/trac/ticket/187?format=tab,20170309155701,https://cbr2.nrel.gov/BEopt2/trac/ticket/187?format=tab,text/tab-separated-values,200,72AJ4CAZZAERTDWGNWGHLNFLB5TRFILB,295,29de57c3a86a223043ecfd02c4e042c402305a04d9f093601a9d2038d53c5020,31001bd3dce03857a89c1282a5c58b2e1c76e7c0c973081fd8393844990afe9d29e83b8fef80ccd0b26b50a2429b9e38ce974059d1ec0b2f2e7eb118501f64e0
cbr2.nrel.gov/beopt2/trac/ticket/412?format=tab,20170811224733,https://cbr2.nrel.gov/BEopt2/trac/ticket/412?format=tab,text/tab-separated-values,200,SMB73RMVURUMACWGFQNQRXFMXZPOVDQU,203,5da7a46d96da8bf102bc9ad5c70cad6cd84d4cbb9833c3e413124adcafb9b04d,8b07c93459948a0e2d68b96592c1f8bb0391d5e51e16b9b8f8b9d76ee969e4368826ecc4350c37e5397eb83cd97fbded0cedf846a9d0f00131745f3dcd3d2aef
cbr2.nrel.gov/beopt2/trac/ticket/639?format=tab,20161217102407,https://cbr2.nrel.gov/BEopt2/trac/ticket/639?format=tab,text/tab-separated-values,200,JWGN3YQXTGWU63JCMSZQZ4KL3LWRR7T6,205,e2ca02e65cbbc47ab2ba3049bdbce6da6360f48c9170b2857ad6955184543bec,17fcb56401d8dab6ad35d3bc44ca534c9ba4c6e7b51c37da071fe6d349f228f7c303fc89a2eb646a54937c5bb7d34483b8896f5ede01c71c3bff92bb1db0f63d
cbr2.nrel.gov/beopt2/trac/ticket/86?version=28&format=tab,20170228073807,https://cbr2.nrel.gov/BEopt2/trac/ticket/86?version=28&format=tab,text/tab-separated-values,200,DAVYGPZOSVTWRJL5JC2QR2OHKQWLGMMD,1348,af93a2935f67bf0828513a4a2404b7c7da41ea5a7be81494ccd120ddd94315fd,dfd29d0decca9bcce7b9f59b507306b28e39ccb1fe936de30ce283c95cec8f9cfc4aa1de315586c153e8e01186418be4122b76e3676da689a3626c3a936252b4
cbr2.nrel.gov/hsp/trac/query?status=!closed&component=general&format=tab&order=id,20170228013757,https://cbr2.nrel.gov/hsp/trac/query?status=!closed&component=General&format=tab&order=id,text/tab-separated-values,200,CNVGUHKRWNY33AMOLSYVTCCAXS3O2TOP,1552,8d795d14a381f761b61ce8a9480eafd191b5f00c8e4ecc161e754b3368a72f04,cd72397f78f13d429b4b2bc25d85740bd389c51bc4b63b01c85509baf32b44362f6feaf19b4ef9c89243c500cd61db447e04f084937e797df866040f32658267
cf-pcmdi.llnl.gov/trac/query?status=!closed&priority=medium&format=tab&order=id,20160903180741,http://cf-pcmdi.llnl.gov/trac/query?status=!closed&priority=medium&format=tab&order=id,text/tab-separated-values,200,BIC2QAXI6DLVZFGMBXYHRSCO4A6HGVBK,6216,4eb7620ad13e858e9e4f1a03f9d6f5e0a992a43791a4fb914ccab3fbf17226a2,72fef7e2dacc37eaaf6d4d7612a8635e4636b731c579ccd8a26800219073b6db4c4d2e171fca6191a9129c614fd8c21bc654add714ae97b3ede69d385de4fc49
