urlkey,timestamp,original,mimetype,statuscode,digest,company,last_modified,last_printed,file_size,sha256,sha512
2bts.rita.dot.gov/publications/americas_freight_transportation_gateways/2004/highlights_of_top_25_freight_gateways_by_shipment_value/dallas_fort_worth/excel/figure_01.xls,20150209202553,http://2bts.rita.dot.gov/publications/americas_freight_transportation_gateways/2004/highlights_of_top_25_freight_gateways_by_shipment_value/dallas_fort_worth/excel/figure_01.xls,application/vnd.ms-excel,200,WGXZFFAJ5J34SI5KNRR44BKNX5BWCWJX,bts,2004-12-21T16:46:25Z,2004-12-27T18:27:03Z,17408,1f1c97708f87f33f05b14bb4fff2daf1c950b844b41843c3882c837409325cc7,a29edd73251f2f269d6dabfbf31cfaf9f7ff3c34c32cfcb26bedc10867d030c64fc0130eef35ccf6641054a009564ee4291a1223d405cbb365f73c491b5b8e48
apa.virginia.gov/data/download/local_government/quarterly/3rd/a402sd.xls,20100422135651,http://www.apa.virginia.gov/data/download/local_government/quarterly/3rd/A402SD.xls,application/vnd.ms-excel,200,54R2KYT4ESWNOGN2ROXQAT2U2CRPCWHW,-,2010-04-19T15:03:27Z,2010-04-19T15:03:27Z,23552,578569112f18072b744d4c5ae4728a78a0ac3da4f2f5889b8c38889fbd054dc2,f5c93a111fdbdb1aef8fde6ea1c7184c43f40edfe3ae83de4e9d61e4d03e7cb724907c6c78ec7f1ddf1bd7518e6f3c77708b66141340cccfb5545a570f53d918
api.faa.gov/handbook96/sh9-396.xls,20010918103204,http://www.api.faa.gov:80/handbook96/sh9-396.xls,application/vnd.ms-excel,200,OMXRKVXRM3VHNSVE6EPTVF56M7S6TCA3,-,-,-,15360,10b04b4c5ee79c7cf54f009fc52962f2bae50bbd2f527d8921c4a977e9d21979,a4813b8034184a6bcdadbf604e080ebd9c51022e229a25bdcb98d14aa114b1ac1ec4808fdc1625ad933024ed029da86e6d227c84d7295523af6dc3cf9e41e090
bea.gov/histdata/releases/gdp_and_pi/2006/q3/preliminary_november-29-2006/section5all_xls.xls,20110320085536,http://www.bea.gov/histdata/Releases/GDP_and_PI/2006/Q3/Preliminary_November-29-2006/Section5ALL_xls.xls,application/vnd.ms-excel,200,4TLEYMZ5ZJVKETAZSQBPU36W7UIQ6ZGN,BEA,2006-11-28T16:06:24Z,2006-11-28T16:16:13Z,4046848,4c20977439fd1e70d46d9ea66da5122e744d5630bf8f4b6db8d9a9c56995c47c,aede75c1df74de85cf6bdbaa4d20a542cf69c9909ea8bf9a60e9947ed6123a8e126f174abbbcf75123815ffea61246e2aabeff04d52936a650cd723ed58f5d3f
bea.gov/newsreleases/national/gdp/2011/xls/tech4q10_adv.xls,20151120192032,http://www.bea.gov/newsreleases/national/gdp/2011/xls/tech4q10_adv.xls,application/vnd.ms-excel,200,CWADPYEZZCSOO345FVFFZUGAXD7OF3KQ,BEA,2004-01-29T14:48:59Z,2011-01-27T16:44:43Z,25600,20a9658e9940b678ecc0864104149721b1324d7f738353a5d304fbc83fc44f54,7237d257958a5f3970e752dcb9b72bddeada00a1392e9c121ebb95ded1c2839737f3207007d306369948809dd4d5914d76e5dd73821bf38f5655f75870617bf3
bpa.gov/power/pl/regionaldialogue/implementation/documents/docs/2011-06-15_rd_genschedbreakoutillust.xls,20161223022759,https://www.bpa.gov/power/pl/regionaldialogue/implementation/documents/docs/2011-06-15_RD_GenSchedBreakOutIllust.xls,application/vnd.ms-excel,200,RBPXZANALCCDTQHRMQFX3DYCM6ZIBNCR,BPA,2009-11-25T19:08:08Z,2011-06-15T20:29:10Z,20491776,1276159ebb839f59a4d00b1fd19d4e8796c440409d3aec4da3401b6cfe53c2a0,7d54b26b4b1fb317900fc83f165078af666e9ae18b0a1e74026e1a053818b41273eadea3159782f6cd42a10cceb9ad8a1e64edffeb731f4a275e70772fdd2e80
bts.gov/publications/national_transportation_statistics/excel/table_02_37.xls,20110602205603,http://www.bts.gov/publications/national_transportation_statistics/excel/table_02_37.xls,application/vnd.ms-excel,200,T5MCIQQTKOJCJR22U5YXNIHYJHJK62CP,-,1980-01-01T04:00:00Z,2011-04-14T15:37:20Z,26112,5a9fdcc3df8be8096cf61963cd6b0ee63b571e3c18d381c2114f077cf46ef69b,02f99404ba9585ce66816a2db7f3edde671fe708d758c11f04a21dd99343583794eeec23250b590b3adcb58ce76ee4bbdb4594c3b3e4d93c68a211b1ed2d88d2
cbo.gov/budget/econproj.xls,20060726211513,http://www.cbo.gov/budget/econproj.xls,application/vnd.ms-excel,200,LBIH6DFIGVQXC5LFTWO5DXVGVWOY73IF,Congressional Budget Office,2004-08-19T19:32:42Z,2006-02-02T18:41:48Z,149504,188e6b093b56947d157ed0a8d4ac5c36471855bdc30647ed892cad01c8efcf4a,fa4bac08062fc07afcc2097d9d6b66ac9eb5c971c74a9dcf2f881340d7719a1ebbdab6917dc7905336a5285fa190c0452a55310e0ee296e6985c6ee2690350e5
cdph.ca.gov/certlic/drinkingwater/documents/edtlibrary/storlist.xls,20120202125240,http://www.cdph.ca.gov/certlic/drinkingwater/Documents/EDTlibrary/storlist.xls,application/vnd.ms-excel,200,VWIIKKMB57TLLYFES4K5K5YOTQRG4H4S,-,2009-06-15T23:42:50Z,2011-09-15T16:47:18Z,74240,ddd2c8e34105729ba2b14dd5c72eb60d596539340f1b86b33573f78e5fff6bc8,29078db15a894f392f0bc9e5b28af32f189cec018597bd5b3a1ad6acd9c3c03425a901668e92e77a561386468a518a6757f983a17b88a4bf22390eb48e2402df
dcf.wi.gov/researchandstatistics/rsdata/docs/docs_2008/w2_recipient_nov08.xls,20090916155439,http://dcf.wi.gov/researchandstatistics/rsdata/docs/docs_2008/w2_recipient_nov08.xls,application/vnd.ms-excel,200,5ZYC475W4JA3K4647RQYGH5TKDT4XB5G,DCF - State of Wisconsin,2008-12-08T15:09:45Z,2008-12-08T19:50:50Z,37376,9814653a9559d6e8bd0211ef3d6e601f4975eac3f17c54745cea5fc5fc509a5e,9e5238b4e2d0fa9b4a891bc041edb7f34045631a61088dbbc62757bbf8a5242849c358e87d76c71079025c67efd1ce4d06932ac604d2d04768547c471151663f
dhs.gov/xlibrary/assets/crcl_nofeardata.xls,20061227095108,https://www.dhs.gov/xlibrary/assets/CRCL_NoFearData.xls,application/vnd.ms-excel,200,JYTAUNL3FTBFEPWZ5KHQJSAUDDWUSS5P,DHS,2004-01-26T21:30:57Z,2006-08-09T16:14:11Z,138240,bdd78e5f923894dfce13b1db99fb797db377859e01c91f0d71331858bca90187,c91d5db4b98fb4146f270541cee87523e9acd8d42a1dcb92be8a58586584dcddbe738c53966cf2e8499563a77bd29dea8c933492e9ffb3f59f005b9c3d681b73
dhs.gov/xlibrary/assets/statistics/immprofiles/2004/cobbook121.xls,20070110013132,http://www.dhs.gov/xlibrary/assets/statistics/ImmProfiles/2004/COBBOOK121.xls,application/vnd.ms-excel,200,WUNZAIRAMOP7UWLKNNDX55VO7MBFQATP,DOJ,2005-03-23T18:56:15Z,2005-03-23T18:56:16Z,17920,7686ddb08b47506d5624c1c3b89178a24f58a078e48aab7d929c4de26e74831f,38f0736dacc57b28facbf8491cb45697613cbc388a08bcd52ec1194da692f1c31c2d28aad68bb5376c14a9e3c53ed88d8cf8666ace0bd435efaf8e7510f8b140
dhs.gov/xlibrary/assets/statistics/immprofiles/2004/msabook88.xls,20081015092336,http://www.dhs.gov/xlibrary/assets/statistics/ImmProfiles/2004/MSABook88.xls,application/vnd.ms-excel,200,UFHIHSVGM5X2HQXOIGKUMVV45U6GPSPE,DOJ,2005-03-23T19:16:17Z,2005-03-23T19:16:18Z,18432,6b3744436fcc06c46da6ade341645b794ac1657570e2bf239ebcd91a375b4063,38460f14ba5111b727a18882b4ac904b22703bf3b854ad7f96d1310eab5a78ef1361dd5a85deef6e778991cf475ce38071fb0ee59f8487eff1acc5f7c57388bd
dhs.gov/xlibrary/assets/statistics/immprofiles/2005/cbsabook161.xls,20071212202408,https://www.dhs.gov/xlibrary/assets/statistics/ImmProfiles/2005/CBSABook161.xls,application/vnd.ms-excel,200,ZG3FFBXNYIAWHBPEFU2EVNEHDSTIRFRL,DHS,2006-05-23T17:53:40Z,2006-05-23T17:53:41Z,18432,487b2604b28ca1f4397c08db7545d5b90ede6a38a5b48f5fbe4f08f5e6dd87a7,b9184285c3b75b5a40db3916e4acf4a3650a0eb194f70d16b5808d74f37d8829c0d3322c10f29a1a85bba6d184f6e67110d54ae88f7ef1f13ce38f2d9fd56fdb
dhs.gov/xlibrary/assets/statistics/immprofiles/2006/cbsabook346.xls,20080710080002,https://www.dhs.gov/xlibrary/assets/statistics/ImmProfiles/2006/CBSABook346.xls,application/vnd.ms-excel,200,WICP2PRFT7AH3XX54XEXDPHXBMOV7GIO,DHS,2007-03-05T15:20:17Z,2007-03-05T15:20:17Z,17920,42af734c8e59595d37e8147a8e2388bae660c68cbed1049c3fab6f822faedbf1,d2ef68ded164f387d10d83b9da59afd0e693cea98aef194ddaf25fc24f487a537075b0a27adf8c3b97d949d968d0baf54151a1ca7b8bc2f205584438a104519b
dhs.gov/xlibrary/assets/statistics/immprofiles/2007/cobbook132.xls,20081113075115,https://www.dhs.gov/xlibrary/assets/statistics/ImmProfiles/2007/cobbook132.xls,application/vnd.ms-excel,200,FZRK2DZ4H6Z4SWBKTTRAB6SQ2Z4JXYV2,Department of Homeland Security,2008-09-30T17:26:27Z,2008-09-30T17:26:28Z,18944,ea5da0ef3346f8248f870ca71151dbc8c7bb90e2696b9f31e692c37104a4cf90,105374e0163457312b33dcb8f7dd42e06442613f158bfa75386f43b33b6c5b55d0fc34952d7ddcc748e36e767dd7cf5c06f26243e0568f345bad534facff08ab
dhs.gov/xlibrary/assets/statistics/immprofiles/2007/cobbook92.xls,20090115150617,https://www.dhs.gov/xlibrary/assets/statistics/ImmProfiles/2007/cobbook92.xls,application/vnd.ms-excel,200,MKNIWRHCCK3F5C77C3ZG6W656CZRES5G,Department of Homeland Security,2008-09-30T17:26:12Z,2008-09-30T17:26:12Z,18432,12b59e73fa529d2ff3402922ffa16e5e91401f6d69f5e2095dd3d2a21f2a531d,ef872f63cf39864356f2641e661119feedfa47db916cff3aa652d754bb83c0b2c7ba590a22ca0d8583c0c6df2e49a689f657f58a3d2b964f4732b1fc64d1c6dc
dhs.gov/xlibrary/assets/statistics/immprofiles/2010/cbsabook415.xls,20111210070638,https://www.dhs.gov/xlibrary/assets/statistics/ImmProfiles/2010/cbsabook415.xls,application/vnd.ms-excel,200,7LZT4FM3MSMFLEM6QCBYYBCG3KQEAVSG,Department of Homeland Security,2011-03-22T17:47:47Z,2011-03-22T17:47:48Z,33792,6197715898d0c7acfcd832195dd143685e8014d79464fb6cacd6ba87909496a4,c95eefef20d67d3a60d1594e25ef0458661d5a22f5e5a76c094b0dc5cd90145b4b776d03ab94ee96663a8e943976e9f69855170857b458cffd6ca2851ffdf253
dhs.gov/xlibrary/assets/statistics/natzprofiles/2003/msabook32.xls,20110820132441,http://www.dhs.gov/xlibrary/assets/statistics/NatzProfiles/2003/MSABook32.xls,application/vnd.ms-excel,200,3HGEXG6VSEE2CUU4PDZ4N2ERASWIAHY2,DOJ,2005-08-15T18:18:34Z,2005-08-15T18:18:34Z,17920,b7ec5254146b3fabe3c355be7ad37dc401d4e226382c0d3b4c32c6fde16194f0,795ffdcc156616b27f5a5d82f73a570f2914c26ef000985dc6b67de79c2140113a3b37f9b0657ac579e662adea3b9a12969f6ad43824d93e48fc62d43f16b67b
dhs.gov/xlibrary/assets/statistics/natzprofiles/2003/msabook324.xls,20061101224330,https://www.dhs.gov/xlibrary/assets/statistics/NatzProfiles/2003/MSABook324.xls,application/vnd.ms-excel,200,CF6QBDGZSOMGCNRCN7DF25RUQSYATOD6,DOJ,2005-08-15T18:21:13Z,2005-08-15T18:21:13Z,16896,ab7acc69d37104303d4aa0151c798666c4a2a8f4241d21a5e2c7b48d73253606,583e5cab0027afb9f3528b7ec6d7b7e86f632ce57ee2c51d238c8c3066756406eef72bbab2f568f30965d1983e8e1a1f69c18e1b6b1912a8e9b4afee30b50d28
documents.dgs.ca.gov/pd/cca/firstdataexhibiteattachmentiii.xls,20100723082406,http://www.documents.dgs.ca.gov/pd/cca/FirstDataExhibitEAttachmentIII.xls,application/vnd.ms-excel,200,5IWNZXRZKJ2XAKZDWOO4EYGNSLPHKG4J,Department of General Services,2008-09-08T20:26:09Z,2010-07-19T17:44:16Z,18800640,21883e8991b1a8dea94f5b288f3a385402389e18a7e23448b53e7225f4e239c5,8286699170d069e731a2a28d76bdf175278c1c8859c187d376793ec2baba33532f0540a64adce4963678a63c5e5b02e398aca6a38be0ac2346ab774f0b2a586b
dod.gov/comptroller/defbudget/fy2005/budget_justification/pdfs/dhp/volume_2/e-fy05_pb_dhp_pb_31q_.xls,20060518051145,http://www.dod.gov/comptroller/defbudget/fy2005/budget_justification/pdfs/dhp/Volume_2/E-FY05_PB_DHP_PB_31Q_.xls,application/x-excel,200,CM5EF7AVTHKHG3VZAHFQ6SESLMIJ7VMF,TMA,1998-12-10T15:00:47Z,2004-02-10T21:38:58Z,31744,875894ec38380e2ff7d508deacd234d24687272542c8f2ffe72cdf26402ec4bf,4884aa42aa0a2851337c871495f3b930eaa236eb5539aed9e2abbdf301d8651fd08d261d64d4ef10c402670c698cd959e6f0ff50488cae5a5da2b05a74d56df4
dof.doa.alaska.gov/dof/payroll/resource/netpay_biwk.xls,20100304222435,http://dof.doa.alaska.gov/dof/payroll/resource/netpay_biwk.xls,application/vnd.ms-excel,200,UBWSSXOTTHT6OR34YAKMPWWD6NYG66AU,"State of Alaska, ADMIN",2006-01-11T19:08:31Z,2009-12-31T19:08:49Z,102912,a95d3ae0b3ac989fd9330cf399816692b68ec2e6e85d1708826b6f3d34b1bdf2,fe8dbd6f8f1f57da4bf1a77215d96492ab18e5054de2017b2fa6c13fbada210a60b39977c11501edadd505142ad7b5e7c34252b107820326b2192210bb0425e9
dphhs.mt.gov/statisticalinformation/tanfstats/tanf032008/figure3.xls,20090901202705,http://www.dphhs.mt.gov/statisticalinformation/tanfstats/tanf032008/figure3.xls,application/vnd.ms-excel,200,NXYDEY7CTFJP46MD5BUJ6AAZ7VLJ5PAT,State of Montana,2002-10-09T18:16:39Z,2008-05-28T18:13:25Z,78336,c31e231a2fbdc9d64094938b218bb1e16037d31518a6cbdb3146dae80804b4ee,fbf6b28015c72623b0007e374eb459f6fc941d01189d47f05135db6e030c3cf8974e4f7d60084318bdb4cb097930d76b222c2a49ba72afc4ed6ac86c1802be67
dphhs.mt.gov/statisticalinformation/tanfstats/tanf082004/figure4.xls,20100825020201,http://www.dphhs.mt.gov/statisticalinformation/tanfstats/tanf082004/figure4.xls,application/vnd.ms-excel,200,SJYPRCFCMP6KGYELOIFVSXKFDIITKLCO,DPHHS,2004-03-29T21:33:44Z,2004-10-25T19:15:25Z,22528,960b5847d2fdf52c8f760002aee7e3161057f7551c2c49ab052ddd2621289005,eb130a32180178197e6fe1b188410976f55f7dd258f520413698b1d6b8219a3214694323381f2488ddf0cfe22656cfe15c97b344368c92f2d74e603fa7d8145c
dpi.wi.gov/lbstat/xls/isesroster07.xls,20091111044117,http://dpi.wi.gov/lbstat/xls/isesroster07.xls,application/vnd.ms-excel,200,O62ISJPRZC76PJYSBAY6TGWEDSVWYKVI,Department of Public Instruction,2005-05-03T14:26:00Z,2006-10-02T20:07:53Z,27136,5a4538fb96fe066929c5be3bf9f7dec1717045d158551ab4afcd564685a78413,8b81862b3e3a39f249ca16af89254cb5507beb1e91761f567afdaf1d7ad44c9be59d7fe0db91a9c78e3515930d04bd4592b7db74efe982ec2d8112a8d95193ed
ecy.wa.gov/programs/sea/wcc/wccforms/termination_forms/exit_evaluation.xls,20100425175857,http://www.ecy.wa.gov/programs/sea/wcc/wccforms/Termination_forms/Exit_Evaluation.xls,application/vnd.ms-excel,200,FBRU674ZMAE6QBOKKD52G5EI3ZB2MUNC,Department of Ecology,2007-10-04T22:15:34Z,2007-10-08T18:32:56Z,58880,3b62bbd3103b4b792c2af5597f33b9eef37c7997a60c9faeeaaf0072c5a461ef,666eccb9ba4ec4e6132deb4b4e3730f10f2ba0e8101abcfc4d14c76fa6020c4dc91ad27ec63bda9daba6fd318c8ba8c81c1e461986b6d1b64b114df88ad56595
ed.sc.gov/agency/finance-and-operations/finance/old/finance/documents/febcharterschoolfunding-0809.xls,20100127114009,http://ed.sc.gov/agency/Finance-and-Operations/Finance/old/finance/documents/fEBcharterschoolfunding-0809.xls,application/vnd.ms-excel,200,F4FKUL7AMOV3RZ6CDUWZP235NNJ4REKK,The School District of Greenville County,2005-03-14T17:53:11Z,2009-02-12T13:09:12Z,40448,a08cea1be9ee21def23e1f8082f8b4c898ab0664ce674d79d6ed0c08f6642cdc,8c84a71bff5b4796888bdfdd719c4bb4d866d7c75992889e1d5f40daece4cc6f48f823164249ebed9c3e5dfe7935842a38a177c6970ed4a407196a187599173b
eia.doe.gov/cneaf/electricity/epm/epmxlfile4_9_a.xls,20100824104638,http://www.eia.doe.gov/cneaf/electricity/epm/epmxlfile4_9_a.xls,application/vnd.ms-excel,200,IJASWTCFY4IW5HZGW7S55KPHUNURBVZH,DOE/EIA,2010-08-11T14:38:01Z,2010-08-11T16:59:05Z,26112,32c8282784ac9598afa53c3d7559d459f8d8f342b1e1dc18045d34d121d6a74b,54f4763c14976262edf9bc83fe2ee9fe663a4c93d5cfb6b790a1e8a7c2082f70b42e01162739a43d27ada4ea4e353afe0f88a35580bfe381ef2265f83b40c9b5
faq.bea.gov/newsreleases/international/trade/2001/xls/trad1001.xls,20170112140028,https://faq.bea.gov/newsreleases/international/trade/2001/xls/trad1001.xls,application/vnd.ms-excel,200,QQRSPN6JIG6VARVKPNQ5D5I46C4V6O67,Bureau Of Economic Analysis,2001-12-18T22:03:07Z,-,244736,d392eddc3438ade4347671f046eb554a2ecb3382ecf916b9582396a5ab190b87,6461638f735fafd8fef5ac055ab39f37a767f85f72164def83d49b5c2450a49096c4bf0eb3fabe7cf2c132dfb5ccae8b0a47a6d94a958503cbebd71bd76e95eb
fbi.gov/ucr/2005prelim/tables/05alabama.xls,20070411155637,http://www.fbi.gov/ucr/2005prelim/tables/05alabama.xls,application/vnd.ms-excel,200,FDIHH25UHIKX3QJ5DI7GCZT62CMMEQZU,FBI,2005-11-30T18:38:09Z,2005-12-20T20:51:16Z,16384,798fc263274cd0f6f95f3a5acaaebb218bd2d946f50ef25066521528868ca91e,f90ba120ed13109f6255d21828b03736bfb8e4c5b485c22a5aba875638a7260ef6d3db5b3315e74fb0e441e9c07a917e7be294b5c599114d5f8fcaf54699815d
fedbbs.access.gpo.gov/library/mf2001/010113m.dbf,20081205041020,http://fedbbs.access.gpo.gov/library/mf2001/010113m.dbf,application/vnd.ms-excel,200,2LLLUSSCLGGPHYWBFIBCETA77V7NRPZ6,-,-,-,3962,d4ee9fc682cb1041d8b69cf2831bcf030fe1fe12e18c290b8e5e523afe33ffe0,abca4f8ac66387b8ea0d353db9c3b3754cef7bd52bd4d3f51477d9a9e72f0f08dd8c1dcb6fcc0a16340dc29cd8a8916bb8027ad0d3a68a8fff7a753d4a00a08a
fedbbs.access.gpo.gov/library/mf2006/060214m.dbf,20081205025149,http://fedbbs.access.gpo.gov/library/mf2006/060214m.dbf,application/vnd.ms-excel,200,2SFFXJYW6IJE2BNQXBPMS6EP5LKSN3WN,-,-,-,34538,9921ed81d8da9d7e9fd85454c83838a054fa16ec35e29562985dcd108c6dcd7e,2ebc777e9725a75a3827fee4adc84ddb9d5c78b2c810b4eb7d5faac543cbc4c43e0a6a6d372a7215ca45910a62156f5abdc656c291455c22f6e6ae9815ca166c
fedbbs.access.gpo.gov/library/papr2008/080157p.dbf,20090112002237,http://fedbbs.access.gpo.gov/library/papr2008/080157p.dbf,application/vnd.ms-excel,200,EQWCETLRJJSF6LCX3ODULEW5DYJFWA6R,-,-,-,1458,27350c6150d1798019c4d680c7d0d69176a5a12a93255708f03baa54d73f8798,d74801c3ea3f10cb5b8f884e73137717354229dca6f2c1b0696a1ac96942a26a90d78cbe0d9eb69b2833849d705dae1de76011690941f49d562b72e95936bb17
fedbbs.access.gpo.gov/library/ship2000/000714m.dbf,20090111221435,http://fedbbs.access.gpo.gov/library/ship2000/000714m.dbf,application/vnd.ms-excel,200,7FSGWZ2E4HF6EPNAWES27LA5BPVEUWAT,-,-,-,2210,fb097bd63b9db27c3c40bbf21c204e3d3097b2bf98eb22b6d0cb24b79441a9fd,bf14012937a05d48da4f4c5d6eb4c9f3ef57a6c83a828535c9e93aaf1add90dedc5913df64601e4dc811d16b4592bf4e0794b378aa61687fb99df4e625ffc41a
fedbbs.access.gpo.gov/library/ship2005/050026p.dbf,20081205083018,http://fedbbs.access.gpo.gov/library/ship2005/050026p.dbf,application/vnd.ms-excel,200,TIOFQQQE5SDB4NH5ELT5PI7UVYKP6GCJ,-,-,-,4302,3aff002e34a72ae6497003bda3b2788be602b9490243be289cd2adb2ad94dd80,59decf376464a9675c9ac5e2b7fa877cdabf19d113e0f8e85a0c16401095f028ddc313cd5e5d12a3a15c46a7daccc2057aaf4a617a808fd3e3cb6ce78a21b43c
